date,open,high,low,close,volume
2019-01-01,100.0,100.0557690776577,99.14859356573969,99.95696515360456,5983926
2019-01-02,101.04342830602246,101.60758095958957,100.86638868157367,100.96826807588653,5334165
2019-01-03,100.81453604012202,100.89116052283993,97.80496102705142,100.65118793352885,2278343
2019-01-04,102.17087169748461,102.7213233912895,101.64958285014933,101.64958285014933,4032115
2019-01-05,105.33414289434342,106.30392653246813,104.7480260176251,104.7480260176251,1690778
2019-01-06,104.89352306514458,105.12570799691787,103.92661299405323,105.12570799691787,5044064
2019-01-07,104.45478082079411,105.931473199968,103.95059024616121,104.17950485493986,9566765
2019-01-08,107.80613478146878,107.96431394223686,107.35324714888274,107.96431394223686,7634699
2019-01-09,109.51472128580029,110.50463322003151,108.85013055001893,109.07209694273818,3350959
2019-01-10,108.54119151591343,109.33954447955666,106.3089946266036,108.63172288729896,6959322
2019-01-11,109.77326438366632,111.13016421291852,108.5318512316717,110.42490340232435,7036207
2019-01-12,108.81073355759472,109.99819610520161,108.2953710204521,109.10381645779111,4343867
2019-01-13,107.85161100186197,108.50857627848683,106.85249402915963,107.64540409275372,7362473
2019-01-14,108.42745722316423,109.61182417882276,107.82512898618222,108.55605670834218,3642800
2019-01-15,104.33262871410464,104.66274596714477,103.37413892702929,104.21229612683953,9181311
2019-01-16,100.7854907928233,102.00811726354378,100.36484560132504,100.78943088517066,2658332
2019-01-17,99.702475046195,99.84377031665308,99.40826309808811,99.53966952012075,5451441
2019-01-18,97.73269089369505,99.9994340638115,96.77899895568889,97.65052329075236,6018768
2019-01-19,98.39580198755594,98.78281022998817,97.49208137154845,98.50184866409303,1771279
2019-01-20,96.65808474585135,96.84371574362194,95.45399818843201,96.16140539606037,9076818
2019-01-21,93.97620237121336,94.26669828517505,93.46826295771837,93.46826295771837,5074999
2019-01-22,96.7779125786648,96.90715067875175,96.0836413017492,96.0836413017492,1663431
2019-01-23,96.38929835353771,96.53626295902572,95.17623430039293,95.58916280128585,9966309
2019-01-24,96.56767292809334,97.25147699897344,95.9590315819831,95.9590315819831,2588404
2019-01-25,93.86426442753428,94.7622660199547,93.57470932726467,93.94399568093634,9641123
2019-01-26,92.88923487965579,93.61933447575635,90.63507650279097,92.44284112190985,4892825
2019-01-27,93.141749786876,94.38168345355922,92.73848342966085,93.39855701899155,6353374
2019-01-28,91.04420954587806,92.7159682134589,89.78996858175068,91.06156642025434,3871083
2019-01-29,91.77383423281569,92.24003735109349,90.78958212609666,90.78958212609666,9998331
